3,45925,dean-brooks
1,26035,*
3,45238,sobota-stahl
1,55984,*
3,45274,alibozek-bargenda
1,27191,*
2,51082,*
3,58818,shah-ren
1,13475,*
2,56752,*
3,14262,shah-ren
1,21749,*
2,61671,*
3,16626,shah-ren
1,17839,*
2,59219,*
3,63331,shah-ren
1,52986,*
2,15748,*
3,18718,shah-ren
1,57922,*
2,8153,*
3,35082,shah-ren
1,2090,*
2,41193,*
3,14161,shah-ren
1,2406,*
2,24483,*
3,14096,shah-ren
1,7266,*
2,28614,*
3,3457,shah-ren
1,19700,*
1,26135,*
2,5990,*
1,13657,*
1,22837,*
2,26331,*
3,45522,hayes-jiang

